ubigeo_reniec;ubigeo_inei;Departamento;Provincia;Distrito;Edad_Anio;Sexo;Cantidad
240102;070102;CALLAO;CALLAO;BELLAVISTA;5;F;420
240102;070102;CALLAO;CALLAO;BELLAVISTA;5;M;403
240102;070102;CALLAO;CALLAO;BELLAVISTA;4;F;417
240102;070102;CALLAO;CALLAO;BELLAVISTA;4;M;398
240102;070102;CALLAO;CALLAO;BELLAVISTA;3;F;429
240102;070102;CALLAO;CALLAO;BELLAVISTA;3;M;383
240102;070102;CALLAO;CALLAO;BELLAVISTA;2;F;427
240102;070102;CALLAO;CALLAO;BELLAVISTA;2;M;381
240102;070102;CALLAO;CALLAO;BELLAVISTA;1;F;450
240102;070102;CALLAO;CALLAO;BELLAVISTA;1;M;354
240102;070102;CALLAO;CALLAO;BELLAVISTA;0;F;392
240102;070102;CALLAO;CALLAO;BELLAVISTA;0;M;405
